1046.9128,283.3824
1108.5976,241.2456
1042.8584,264.8480
1070.0808,245.0104
1017.2288,272.9568
1005.2104,270.2056
977.8432,271.5088
968.2864,266.5856
992.6128,248.9200
1007.5272,295.5456
967.2728,299.6000
928.7560,238.2048
910.3664,256.5944
894.4384,256.0152
883.4336,297.5728
919.1992,279.3280
926.7288,227.2000
933.5344,163.3432
921.9504,158.1304
992.6128,269.0472
1001.0112,259.7800
723.2848,279.7624
687.2296,260.0696
630.6128,288.5952
629.0200,269.4816
669.8536,145.2432
787.4312,156.9720
802.9248,170.7280
770.3448,177.8232
804.0832,186.2216
716.1896,143.3608
628.5856,195.6336
630.3232,207.5072
579.9328,193.6064
576.4576,208.8104
603.2456,194.6200
618.8840,180.7192
619.3184,222.8560
617.4360,240.0872
582.5392,293.0840
573.7064,294.2424
610.6304,276.2872
653.9256,287.4368
594.4128,325.6640
602.2320,310.3152
537.5064,191.5792
537.0720,177.9680
415.5848,179.5608
372.1448,185.0632
370.8416,196.2128
408.9240,225.3176
455.5496,202.4392
429.1960,177.3888
397.4848,174.7824
357.2304,195.1992
342.3160,211.2720
310.0256,230.3856
465.2512,281.9344
502.6096,266.1512
525.0536,218.8016
539.8232,154.9448
464.8168,184.3392
149.0080,171.1624
165.3704,174.6376
263.8344,218.5120
295.1112,251.2368
233.7160,219.5256
227.3448,224.7384
210.2584,214.4576
203.8872,182.6016
213.8784,189.8416
189.1176,283.9616
140.1752,245.3000
299.4552,185.4976
110.0568,177.3888
90.3640,195.4888
81.0968,196.2128
48.5168,246.1688
38.0912,246.6032
25.2040,246.8928
88.7712,123.6680
10.0000,149.7320
146.2568,137.8584
209.6792,71.3952
344.3432,19.7016
348.1080,42.7248
378.0816,33.4576
433.9744,10.0000
425.1416,27.6656
613.3816,145.2432
606.8656,16.8056
469.7400,85.1512
476.4008,25.6384
488.9984,69.0784
648.7128,18.1088
657.9800,24.1904
656.6768,89.9296
639.1560,98.3280
587.7520,122.3648
583.9872,142.4920
638.1424,27.6656
637.1288,35.4848
686.3608,28.2448
694.4696,56.1912
727.6288,89.6400
720.3888,98.4728
728.2080,113.5320
657.9800,71.1056
641.7624,65.8928
661.0208,47.3584
626.7032,75.4496
570.0864,117.5864
477.2696,53.0056
757.1680,55.1776
748.9144,60.2456
818.1288,65.8928
800.0288,96.4456
850.1296,98.9072
867.7952,120.1928
841.7312,103.5408
890.6736,97.8936
